−0.17 0.62 +1
−0.24 0.33 +1
−0.22 0.55 +1
−0.30 0.65 +1
0.42 −0.09 −1
−0.19 0.45 +1
0.33 −0.19 −1
0.62 −0.41 −1
0.68 −0.30 −1
0.28 −0.17 −1
−0.44 0.66 +1
−0.20 0.63 +1
0.42 −0.37 −1
0.54 −0.16 −1
0.43 −0.42 −1
0.39 −0.42 −1
0.37 −0.15 −1
−0.05 0.37 +1
0.35 −0.38 −1
0.64 −0.21 −1
0.66 −0.10 −1
−0.26 0.35 +1
0.73 −0.14 −1
0.41 −0.32 −1
−0.17 0.62 +1
0.49 −0.18 −1
−0.16 0.40 +1
−0.40 0.57 +1
0.37 −0.28 −1
0.28 −0.35 −1
0.57 −0.18 −1
0.68 −0.26 −1
0.52 −0.35 −1
0.71 −0.18 −1
−0.07 0.36 +1
0.64 −0.37 −1
−0.13 0.55 +1
−0.26 0.26 +1
0.64 −0.15 −1
0.28 −0.16 −1
0.43 −0.34 −1
0.40 −0.23 −1
0.43 −0.09 −1
0.51 −0.29 −1
0.53 −0.13 −1
−0.29 0.54 +1
−0.04 0.64 +1
−0.15 0.63 +1
